observation_id|report_type|date_time|date_time_meaning|latitude|longitude|observation_height_above_station_surface|observed_variable|units|observation_value|value_significance|observation_duration|platform_type|station_type|primary_station_id|station_name|quality_flag|data_policy_licence|source_id 
AG000060590-3-1893-10-44-13|2|1893-10-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-11-85-0|2|1893-11-01 00:00:00+00|1|30.5667|2.8667|2|85|005|297.75|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-11-85-1|2|1893-11-01 00:00:00+00|1|30.5667|2.8667|2|85|005|281.93|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-11-85-2|2|1893-11-01 00:00:00+00|1|30.5667|2.8667|2|85|005|289.84|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-11-44-13|2|1893-11-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-12-85-0|2|1893-12-01 00:00:00+00|1|30.5667|2.8667|2|85|005|290.16|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-12-85-1|2|1893-12-01 00:00:00+00|1|30.5667|2.8667|2|85|005|274.11|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1893-12-85-2|2|1893-12-01 00:00:00+00|1|30.5667|2.8667|2|85|005|282.14|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1893-12-44-13|2|1893-12-01 00:00:00+00|1|30.5667|2.8667|1|44|710|13.4|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-02-85-0|2|1894-02-01 00:00:00+00|1|30.5667|2.8667|2|85|005|292.49|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-02-85-1|2|1894-02-01 00:00:00+00|1|30.5667|2.8667|2|85|005|277.03|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-02-85-2|2|1894-02-01 00:00:00+00|1|30.5667|2.8667|2|85|005|284.76|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1894-02-44-13|2|1894-02-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-03-85-0|2|1894-03-01 00:00:00+00|1|30.5667|2.8667|2|85|005|297.36|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-03-85-1|2|1894-03-01 00:00:00+00|1|30.5667|2.8667|2|85|005|282.19|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-03-85-2|2|1894-03-01 00:00:00+00|1|30.5667|2.8667|2|85|005|289.78|2|14||1|AG000060590|EL-GOLEA GSN|3|1|229
AG000060590-3-1894-03-44-13|2|1894-03-01 00:00:00+00|1|30.5667|2.8667|1|44|710|0.0|13|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-04-85-0|2|1894-04-01 00:00:00+00|1|30.5667|2.8667|2|85|005|302.53|0|14||1|AG000060590|EL-GOLEA GSN|0|1|229
AG000060590-3-1894-04-85-1|2|1894-04-01 00:00:00+00|1|30.5667|2.8667|2|85|005|284.21|1|14||1|AG000060590|EL-GOLEA GSN|0|1|229
